imie,kategoria,wiek,schronisko,co_lubi,dieta
Miluś,kotek,12,Fundacja Zwierzaki Poznań,spacery,dieta BARF
Puszek,kotek,1,Schronisko Kraków,drapanie po brzuszku,mokra karma
Azor,kotek,13,Azyl Warszawa,gonienie piłki,mięsna
Tofik,kotek,8,Dom Tymczasowy Gdańsk,spacery,mokra karma
Azor,piesek,14,Dom Tymczasowy Gdańsk,spacery,dieta BARF
Miluś,piesek,15,Azyl Warszawa,leżenie na słońcu,dieta BARF
Reksio,piesek,14,Azyl Warszawa,leżenie na słońcu,mięsna
Reksio,piesek,14,Azyl Warszawa,głaskanie,mięsna
Azor,kotek,3,Dom Tymczasowy Gdańsk,spacery,wegetariańska
Fafik,piesek,13,Fundacja Zwierzaki Poznań,głaskanie,mokra karma
Reksio,piesek,12,Schronisko Kraków,leżenie na słońcu,wegetariańska
Tofik,piesek,15,Dom Tymczasowy Gdańsk,gonienie piłki,sucha karma
Puszek,kotek,10,Fundacja Zwierzaki Poznań,głaskanie,dieta BARF
Fafik,kotek,13,Fundacja Zwierzaki Poznań,głaskanie,sucha karma
Luna,kotek,14,Fundacja Zwierzaki Poznań,drapanie po brzuszku,dieta BARF
Fafik,piesek,1,Schronisko Kraków,głaskanie,wegetariańska
Kicia,piesek,3,Dom Tymczasowy Gdańsk,drapanie po brzuszku,dieta BARF
Mruczek,piesek,2,Dom Tymczasowy Gdańsk,drapanie po brzuszku,mokra karma
Bella,kotek,5,Fundacja Zwierzaki Poznań,drapanie po brzuszku,mięsna
Mruczek,kotek,13,Fundacja Zwierzaki Poznań,gonienie piłki,mokra karma
Fafik,piesek,15,Dom Tymczasowy Gdańsk,spacery,mięsna
Mruczek,kotek,13,Azyl Warszawa,drapanie po brzuszku,mięsna
Puszek,piesek,12,Schronisko Kraków,głaskanie,mięsna
Bella,piesek,14,Fundacja Zwierzaki Poznań,spacery,dieta BARF
Kicia,piesek,5,Schronisko Kraków,drapanie po brzuszku,wegetariańska
Puszek,kotek,8,Fundacja Zwierzaki Poznań,gonienie piłki,wegetariańska
Luna,kotek,15,Dom Tymczasowy Gdańsk,leżenie na słońcu,sucha karma
Reksio,piesek,4,Schronisko Kraków,leżenie na słońcu,mięsna
Mruczek,kotek,6,Azyl Warszawa,głaskanie,mięsna
Reksio,piesek,3,Schronisko Kraków,głaskanie,sucha karma
Luna,piesek,3,Schronisko Kraków,gonienie piłki,dieta BARF
Bella,kotek,15,Schronisko Kraków,leżenie na słońcu,mokra karma
Mruczek,kotek,11,Azyl Warszawa,głaskanie,mięsna
Fafik,kotek,6,Schronisko Kraków,głaskanie,mokra karma
Bella,kotek,1,Dom Tymczasowy Gdańsk,drapanie po brzuszku,wegetariańska
Luna,kotek,12,Dom Tymczasowy Gdańsk,spacery,mięsna
Reksio,piesek,13,Fundacja Zwierzaki Poznań,drapanie po brzuszku,mięsna
Luna,piesek,9,Schronisko Kraków,spacery,mięsna
Miluś,kotek,4,Azyl Warszawa,leżenie na słońcu,wegetariańska
Miluś,piesek,12,Fundacja Zwierzaki Poznań,gonienie piłki,sucha karma
Puszek,kotek,4,Azyl Warszawa,spacery,dieta BARF
Tofik,piesek,1,Azyl Warszawa,głaskanie,mięsna
Azor,kotek,9,Azyl Warszawa,głaskanie,sucha karma
Mruczek,piesek,13,Fundacja Zwierzaki Poznań,leżenie na słońcu,mokra karma
Miluś,kotek,3,Schronisko Kraków,spacery,sucha karma
Miluś,piesek,2,Schronisko Kraków,głaskanie,wegetariańska
Tofik,piesek,2,Schronisko Kraków,leżenie na słońcu,sucha karma
Bella,kotek,1,Schronisko Kraków,spacery,wegetariańska
Puszek,piesek,6,Schronisko Kraków,gonienie piłki,mięsna
